sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,is_abstract,classification2
14682666,23144397,12,tooma,kaasa,all,skeidi,skeidile,Noppige siis spordipoodidest flaiereid ja täitke need ära ning tooge õhtul skeidile kaasa !,,,,yes,"The phrase 'skeidile' refers to a location where something is brought, so it is adverbial of place.",,,,,,loc
4675269,7512032,10,heitlema,,in,Nagano,Naganos,"1998 arvati ta olümplaseks , kuid kui teised heitlesid Naganos , siis tema pidas oma mängud kodus .",,location,LOC,yes,,,,,,,loc
21087297,29915194,3,lootma,,in,Marko,Markos,"moRt: Markos looda saa , kasutab minu arust majapidamisriistana ...",,,LOC,no,"The phrase 'Markos' refers to a person, not a location, so it is not adverbial of place.",no,yes,no,no,no,actor
11624583,18609145,6,eelistama,,all,jäätis,jäätistele,"Kuigi 10-aastane Laura eelistab eesti jäätistele väljamaiseid , ei ütle ta kunagi ära ka kodumaisest jäätisest .",,,,yes,,,,,,,loc
966364,1539316,9,vähendama,,all,sina,teile,"Mis saab fondist edasi , kui Soros vähendas teile antavat toetust 2/3 võrra ?",,,,no,"The phrase 'teile' refers to a recipient, not a place, so it is not adverbial of place.",no,yes,no,no,no,actor
12970301,20750615,13,sõitma,,in,Creditt,Creditis,"Ta toob näiteks austraallase Stuart O'Grady : « Ta sõitis Creditis seitse või kaheksa hooaega , kuid mullu otsustas Cofidisesse tulla .",,,,yes,,,,,,,loc
17983994,27365696,16,ostma,,abl,Vasja,Vasjalt,"Vahele jäänud pätid on tavaliselt väitnud , et ostsid kuritööks vajaliku püstoli Kadaka turult tundmatult Vasjalt .",,,LOC,yes,,,,,,,loc
9450311,15174688,6,tantsima,,in,Onegin,Oneginis,Tookordsel ringreisil tantsis ta “ Oneginis ” .,,,,yes,,,,,,,loc
1558565,2479581,27,omandama,,abl,Karjbankas,Karjbankalt,""" Sellele viitab see , et sellal kui kauplemine Staburadze aktsiatega oli börsil informatsiooni esitamata jätmise pärast peatatud , omandas Staburadze nõukogu liige Trygvi Halvardsson Latvijas Karjbankalt 14,44 protsenti Staburadze aktsiatest , "" ütles Nagla .",,,ORG,yes,,,,,,,loc
8753105,14051469,2,alustama,,el,NLP,NLPst,"Alustasime NLPst , jätkame gestaltteraapiaga .",,,,yes,,,,,,,loc
13160251,21056710,12,hiilgama,,in,Sõnumileht,Sõnumilehes,"Postimehe kommentaatoril on vägev liitlane - Toomas Alatalu , kes reedeses Sõnumilehes oma analüüsiga hiilgas .",,,,yes,"The phrase 'Sõnumilehes' refers to the location where something was published, so it was classified as 'yes' for adverbial of place.",,,,,,loc
9696585,15560703,25,visandama,,el,aeg,ajast,"Pühajärve kaitsjate poolt korruptsioonis süüdistatud keskkonnaministeeriumi ametnik Tiina Tallinn nõustas ärimeeste majaehitust Pühajärve äärde Põlend-Kolgale kui riigiametnik , majade paiknemise visandas arhitektina oma vabast ajast .",,,,no,"The phrase 'ajast' refers to time rather than place, so it was classified as 'no' for adverbial of place.",yes,no,no,no,no,time
13946122,22207610,4,määrama,,in,lõik,lõigus,Komisjon määrab esimeses lõigus nimetatud vastavuse tagamiseks üksikasjalikud eeskirjad ja kriteeriumid ning lubatud hälbe .,,,,yes,,,,,,,loc
1257411,1999885,45,rentima,,all,iseenese,iseendale,"Siis peaks ilmnema , mis raha eest ehitab kahjumiga SLK paarikümnemiljonilist luksuslikku pansionaati Kuressaares , kas umbes sama suurusjärgus summat on vaja kümne laeva remontimiseks , kas 7,5 miljonit aastas on administratsioonikuludeks paras raha , kui suured on omaniku renditulud , kui ta rendib iseendale pinda , kui kallis on kallis kütus .",,,,no,"The phrase 'iseendale' indicates a recipient or beneficiary rather than a place, so it was classified as 'no' for adverbial of place.",no,yes,no,no,no,actor
14829173,23322522,25,sattuma,,all,kaader,kaadrile,"HK > K Ka rumal koolipoiss saab aru , et nurka vähendades väheneb ka HK > K valguse hulk , mis sisse pääseb ( kaadrile satub ) .",,,,yes,,,,,,,loc
5569218,8930219,25,tellima,,abl,kiirabibrigaad,kiirabibrigaadilt,"Komisjon tunnistas edukaks riigihankekonkursile laekunud kahest pakkumisest ESS Pääste AS-i pakkumise , vastavalt konkursi tingimustele tellib Tallinn alates maist kiirabiteenust kolmelt ESS Pääste AS-i kiirabibrigaadilt , ütles Tallinna sotsiaal- ja tervishoiuameti peaspetsialist Ene Tomberg .",,alive,,yes,,,,,,,loc
1081947,1720281,4,pidama,vastu,in,heitlus,heitluses,"Treenerid pidasid võrdses heitluses vastu küll teise poolaja keskpaigani , kuid kokkuvõttes jäädi poistele alla 25 : 33.",,,,yes,,,,,,,loc
94230,159221,1,tulema,,in,Armeenia,Armeenias,"Armeenias , Gruusias , Kõrgõzstanis , Venemaal ja Ukrainas tuleb aga tugevdada seadusandlust .",,location,LOC,yes,,,,,,,loc
17801808,27178367,1,peksma,,ad,burgerimaa,burgerimaal,"burgerimaal peksid 13-aastased tsikid koomasse oma sõbranna , kuna tema sai poisilt musu , aga teised mitte .",,,,yes,,,,,,,loc
4241895,6826395,16,suurenema,,all,metsaala,metsaaladele,""" Küsimus ongi metsade edasises säilimises , sest ehituskrunte jääb linnas järjest vähemaks ning surve metsaaladele suureneb , "" kiitis Kupper metsade korraliku kaitse alla võtmise plaanid heaks .",,location,,yes,,,,,,,loc
13266119,21224811,7,viima,,in,inimrööv,inimröövis,"Lugu , mis viis Winnie süüdimõistmiseni inimröövis .",,,,no,"The phrase 'inimröövis' specifies the type of crime rather than a physical location, so it is not adverbial of place.",no,no,yes,no,no,event
2076950,3314189,11,hoidma,,in,alatoitlus,alatoitluses,"See on olukord , mis hoiab suure hulga eesti lapsi alatoitluses , rääkimata täiskasvanutest .",,,,no,"The phrase 'alatoitluses' describes a condition or state rather than a physical location, so it is not adverbial of place.",no,no,no,no,no,UNK
14484305,22906114,1,kandideerima,,el,demokraat,Demokraadist,"Demokraadist Gore kandideeris presidendiks juba 2000. aastal , kuid sai George W. Bushilt napilt lüüa .",,,ORG,no,"The phrase 'Demokraadist' indicates affiliation or association rather than a location, so it is not adverbial of place.",no,yes,no,no,no,actor
10867138,17404455,14,abielluma,,in,point,Pointis,Los Angeles Lakersi korvpallimeeskonna tagamees Kobe Bryant abiellus kolmapäeval kihlatu Vanessa Laine'iga Dana Pointis St.,,,,yes,"The phrase 'Pointis' refers to a physical location where the event took place, so it is adverbial of place.",,,,,,loc
13688429,21871852,10,kaduma,,all,südameravi,südameravile,Ringhäälingunõukogu esimees Tiit Sinissaar kadus pärast peaministri juubelit hääletult südameravile .,,,,yes,,,,,,,loc
9061330,14569548,9,ennustama,,all,ajakiri,ajakirjale,Keskkooli direktor Tõnu Valdma ennustas seda juba mullu ajakirjale Luup antud intervjuus .,,,,no,"The phrase 'ajakirjale' indicates a recipient of the action rather than a physical location, so it is not adverbial of place.",no,no,no,no,no,UNK
11067895,17727986,13,kuluma,,el,labor,laborist,"Kui on tegemist juba teadaoleva geeni taime viimisega , kulub ühe taime laborist põllule viimiseks kaks-kolm aastat .",,location,,yes,,,,,,,loc
6475512,10412879,8,kogunema,,all,Võrumaa,Võrumaale,Peipsi koostöökeskuse eestvedamisel kogunes mõne nädala eest Võrumaale Kubijale mitukümmend praktilise keskkonnahariduse tulevikku kujundada soovivat eksperti ja loodusainete õpetajat .,,location,ORG,yes,,,,,,,loc
6384577,10262063,19,nägema,välja,in,Valgevene,Valgevenes,"Amnesty International , mis protestiaktsiooni juhtis , kirjutas mõlema ajalehe esikülje alla : "" Nii näeb sõnavabadus välja Valgevenes .",,location,LOC,yes,,,,,,,loc
5549126,8897089,2,olema,,el,Saksamaa,Saksamaast,"On Saksamaast kallimaidki kohti - nagu Uruguai , Venezuela , Uus-Meremaa ja isegi USA , kus õppimiseks tuleb välja käia",,location,LOC,yes,,,,,,,loc
12674224,20279032,5,kehtima,,ad,lõppemine,lõppemisel,Kooli lõpetamise või töösuhte lõppemisel kehtib täiskasvanute ravikindlustus kaks kuud pärast kooli või töötamise lõpetamist .,,,,no,"The phrase 'lõppemisel' refers to the time of the end of something rather than indicating a specific place, so it is not an adverbial of place.",yes,no,yes,no,no,time
11395936,18261834,7,haarama,,el,osa,osast,Haarake nimetissõrme ja pöidlaga tiku alumisest osast .,,,,yes,"The phrase 'osast' refers to a specific part of the object and implies a spatial reference, so it is classified as an adverbial of place.",,,,,,loc
6340453,10188183,14,kontrollima,,el,kapitalimaht,kapitalimahust,"Arreteeritud Platon Lebedev juhib Jukose finantskeskuseks olevat gruppi Menatep , mis kontrollib Jukose kapitalimahust 61 protsenti moodustavat eraomanike vara .",,,,no,"The phrase 'kapitalimahust' refers to a proportion of capital, which is not a reference to a location, hence it is not an adverbial of place.",no,no,no,no,no,UNK
5748558,9220661,13,vedama,,in,Iraak,Iraagis,"BAQUBA , 21. november ( Reuters-EPLO ) - USA sõdurid avasid esmaspäeval Iraagis Baquba lähedal tule tsiviilisikuid vedanud väikebussi pihta , vähemalt kolm sama perekonna liiget , sealhulgas üks laps , sai surma .",,location,LOC,yes,,,,,,,loc
14437832,22868258,22,müüma,,el,alustamine,alustamisest,"b ) meierei , kes seda võimalust kasutab , ei müü lõssipulbrit sekkumisasutusele nelja nädala jooksul alates käesolevas taandes osutatud tegevuse alustamisest ning teatab inspekteerimisasutusele enne tegevuse alustamist selle alguskuupäeva .",,,,no,"The phrase 'alustamisest' refers to the starting of an action, not a specific place, so it is not an adverbial of place.",no,no,no,no,no,UNK
10500816,16835889,2,laskma,,el,pank,pangast,Kohus pangast 10 miljonit taala püüdmatult lendu lasknud Siim Kallase üle jätkub oktoobri lõpus .,,,,yes,,,,,,,loc
3490887,5621274,15,vähenema,,all,650000,650 000-le,Tööga hõivatud inimeste arv on aga turumajanduslikele suhetele üleminekul vähenenud 200 000 võrra - 850 000-lt 650 000-le .,,,,no,"The phrase '650 000-le' represents a numerical value or quantity, not a location, therefore it is not an adverbial of place.",no,no,no,no,no,UNK
3407180,5483881,1,rippuma,,ad,üks,ühel,ühel neist ripuvad koguni õnnelike ja puhanud liikmete pildid seina peal .,,,,no,"The phrase 'ühel' refers to one of the objects but does not indicate a place, so it is not an adverbial of place.",no,no,no,no,no,UNK
16404654,25347097,11,loovutama,,all,Pissarev,Pissarevile,"Esmaspäevane Postimees avaldas lootust , et ehk loovutab ta koha Pissarevile .",,,PER,yes,,,,,,,loc
3156560,5068852,11,jääma,,adit,Kaagvere,Kaagverre,""" Nüüd on tehtud otsus , et Kaagvere kool jääb Kaagverre ja et seal tulevad suured muutused , "" lubas haridus- ja teadusministeeriumi koolivõrgu büroo juhataja asetäitja Ants Eglon .",,location,LOC,yes,,,,,,,loc
3559489,5731807,29,seisma,,el,hetk,hetkest,"Täna võib veendumusega kinnitada , et just põhiseaduse vastuvõtmine võimaldas Ukrainal saavutada läbimurret peaaegu iga terava välispoliitilise probleemi lahendamisel , mis olid seisnud meie riigi ees sõltumatuse taastamise hetkest alates .",,time,,no,"The phrase 'hetkest' is temporal, referring to a specific moment in time, not a location.",no,no,no,no,no,UNK
6320001,10154618,23,kõikuma,,ad,periood,perioodil,"Kuum lisas , et kui enamik näitajaid on Eesti jaoks positiivsed , varjutab kogu tulemust kõrgevõitu tööpuuduse määr , mis kõigub prognoositaval perioodil vahemikus 8-8,9 protsenti .",,,,no,"The phrase 'perioodil' describes a time span, making it temporal rather than a location reference.",yes,no,no,no,no,time
433947,677946,3,osalema,,in,Moskva,Moskvas,"Valimistel osales Moskvas 66,13 protsenti hääleõiguslikest elanikest .",,location,LOC,yes,"The phrase 'Moskvas' indicates a specific location where an event occurred, fitting the classification of adverbial of place.",,,,,,loc
4414780,7099920,6,hukkuma,,ad,tagaiste,tagaistmel,Möödunud aastal hukkus 30 auto tagaistmel sõitjat .,,,,yes,,,,,,,loc
11818134,18914145,16,müüma,,all,apteeker,apteekrile,"“ See pole võimalik , et oleksime kliendile puuduliku pileti andnud , ” kinnitab Pärnu apteekrile puhkusereisi müünud Wris Toursi juhatuse esinaine Margit Rebane-Pent .",,alive,,no,"The phrase 'apteekrile' indicates the recipient of an action, not a place.",no,yes,no,no,no,actor
15057347,23584955,10,rahuldama,,in,pära,päras,"b ) vastuvõtjaliikmesriigi skeem rahuldab täiendava hüvitisega seotud nõuded päras seda , kui päritoluliikmesriigi pädevad asutused on talle teatanud emmast-kummast artikli 2 lõikes 2 nimetatud otsusest .",,,,no,The phrase 'päras' signals a temporal relationship rather than indicating a specific location.,no,no,no,no,no,UNK
6405225,10296237,12,ütlema,,all,FIFA.com,FIFA.com'ile,""" Oleme tohutult õnnelikud , et jõudsime finaalturniirile , "" ütles FIFA.com'ile Brasiilia peatreener Carlos Alberto Parreira , kes siiski polnud mänguga päris rahul .",,,PER,yes,,,,,,,loc
16684885,25673260,4,ütlema,,all,Jürka,Jürkale,"Põrgupõhja Juula ütles Jürkale , et sul on ikka Ants ees ja taga , aga kõik sünnib su oma tööst ja vaevast .",,,PER,no,"The phrase 'Jürkale' refers to a person being addressed, not a physical place.",no,yes,no,no,no,actor
5932554,9523695,7,kõlama,,el,punkt,punktist,"Mõneti on see arusaadav , sest punktist A punkti B kihutajate esimene küsimus kõlab : kui kaua teil valmistamisele aega kulub ?",,,,yes,,,,,,,loc
4683092,7524745,4,jõudma,,el,Dallas,Dallasest,"10. mail jõudsime Dallasest College Stationi võistlusele , kui kettaheide juba käis - ala oli varasemaks toodud .",,location,ORG,yes,,,,,,,loc
2780638,4459203,5,eemaldama,,el,õhk,õhust,Veekeetmisanumat meenutav õhupesumasin eemaldab õhust 99% lõhnu .,,,,yes,The phrase 'õhust' was classified as 'yes' because it specifies a place (the air) from which something is removed.,,,,,,loc
13220758,21151823,9,ajama,,all,homoparaad,homoparaadile,"Ei saa aru , mis asi ajab inimesi homoparaadile .",,,,yes,,,,,,,loc
1324385,2105407,4,jääma,alla,in,konkurentsivõitlus,konkurentsivõitluses,"Ühispank on jäänud konkurentsivõitluses Hansapangale alla , kirjutas reedene Kauppalehti .",,,,yes,,,,,,,loc
18965506,28631759,11,ulatuma,,ill,emakakaelakanal,emakakaelakanalisse,"Elektrokoagulatsiooni diatermia ei sobi emakakaela raviks , kui patoloogia ulatub emakakaelakanalisse , tegemist on kõrge riskiastme lesiooniga ( HGSIL ) või on mikroinvasiivse protsessi , adenokartsinoomi kahtlus .",,,,yes,,,,,,,loc
15539855,24269202,13,olema,kinni,in,arvudes-analüüs,arvudes-analüüsides,"Näen asju teise pilguga , ei teki konnatiigiefekti , et oled oma arvudes-analüüsides kinni ja upud sinna . ”",,,,no,The phrase 'arvudes-analüüsides' was classified as 'no' because it does not indicate a place but rather refers to a state or context involving numbers and analyses.,no,no,no,no,yes,loc
2341361,3750484,20,viima,välja,el,keskkond,keskkonnast,"Halb on , kui töötu jääb pikaks ajaks koju , võimalus kasvõi vähest tööd saada viib ta psüühiliselt raskest keskkonnast välja ja annab uut jõudu töö otsingutel .",,,,yes,,,,,,,loc
15224601,23774664,9,tutvustama,,el,Sony,Sonyst,"Möödunud nädalal tutvustasid maailma suurimad elektroonika- ja tehnikafirmad Sonyst Microsoftini ning Skype'ist Symantecini Barcelonas uusi vidinaid ja lahendusi , mis peaksid meie elu lihtsamaks ja toredamaks tegema .",,,,yes,,,,,,,loc
10845449,17368974,5,välistama,,all,vastutus,vastutusele,"Süüdimatus ei välista aga vastutusele võttu ning eksperdihinnangute järgi otsustades tuleb teda ravida , kinnitas süüdistaja .",,,,no,"The phrase 'vastutusele' was classified as 'no' because it refers to the concept of responsibility, not a physical or specific location.",no,no,yes,no,no,event
16773901,25813559,13,võlgnema,,all,ilmajäämine,ilmajäämisele,"kusjuures juba teist aastat võlgnen ma igasuguse tänu oma rattast/rattaosadest ilmajäämisele oma kallile boyfriendile , kes lihtsalt tõmbab kohe rattavargaid külge .",,,,no,The phrase 'ilmajäämisele' was classified as 'no' because it pertains to the concept of loss and not to a place.,no,no,no,no,no,UNK
954315,1519941,2,tooma,võidu,all,Eesti,Eestile,""" Eestile tõid Lesoto vastu niisiis võidu Maret Ani ja Liina Suurvarik .",,location,LOC,yes,,,,,,,loc
11396051,18262044,16,alluma,,all,fraktsioon,fraktsioonile,"Demokraatlikus parlamentarismis jääb iga poliitiline minister alati kahe tule vahele , sest ta allub nii fraktsioonile parlamendis kui ka peaministrile valitsuses .",,,,no,"The phrase 'fraktsioonile' refers to whom the minister is subordinated, not a location, hence not adverbial of place.",no,no,no,yes,yes,loc
12077011,19332478,8,sattuma,,all,Alpiexpress,Alpiexpressile,St Antoni sattusin mõni aasta tagasi tänu Alpiexpressile .,,,,yes,"The phrase 'Alpiexpressile' refers to a location or a destination, hence it is adverbial of place.",,,,,,loc
8958335,14401371,27,kogunema,,el,hoone,hoonest,"Vaarik tõi näiteks Tallinnas USA saatkonna juures NATO-vastaseid pikette korraldanud vene noored , kellest osa koguneb paar aastat iga päev Harjumäel , mõnesaja meetri kaugusel valitsuse hoonest .",,location,,yes,,,,,,,loc
3305476,5314412,9,tooma,,abl,Harjumaa,Harjumaalt,Artikkel Viimsisse hilinevatest bussidest tõi vastukaja ka mujalt Harjumaalt .,,location,LOC,yes,,,,,,,loc
2502741,4013152,24,toimuma,,el,Euroopa,Euroopast,"Ka Põhja-Ameerika mandri riikides , sealhulgas USA enamikus osariikides , mindi just ööl vastu pühapäeva talveajale , ehkki suveajale üleminek toimus seal erinevalt Euroopast aprilli esimesel pühapäeval .",,location,LOC,yes,,,,,,,loc
5552018,8902023,4,alustama,,all,Eesti,Eestile,Läti on sarnaselt Eestile alustanud ettevalmistusi populatsioonigeneetika projektideks vajaliku keskkonna loomiseks .,,location,LOC,no,"The phrase 'Eestile' indicates similarity or comparison, not a location, hence not adverbial of place.",no,yes,no,no,yes,loc
3626214,5839367,2,säilima,,el,riik,riikidest,"Nendest riikidest tubakatoodete sisseviimisel Soome , Rootsi , Taani , Saksamaale ja UKsse säilivad piirangud võrdväärsetena kolmandatest riikidest saabuvatele tubakatoodetele .",,,,yes,,,,,,,loc
8755542,14055245,14,eraldama,,el,päev,päevast,"Elutöö ära teinud näitlejale palju ei jagu , aga julmas teatrisüsteemis , mis päevast päeva andekamaid vähemandekatest eraldab , on 89-aastase näitleja lavalpüsimine isegi suur ime .",,,,no,"The phrase 'päevast' refers to time, not location, hence not adverbial of place.",yes,no,no,no,no,time
10767307,17247439,14,kujunema,,el,Sarajevo,Sarajevost,"Bosnia serblaste sõjakurjategijaks kuulutatud liider Radovan Karadzic on juba avaldanud arvamust , et Sarajevost kujuneb lähimateks aastateks Euroopa Beirut .",,location,LOC,yes,,,,,,,loc
4388242,7058296,24,rahuldama,,in,veebrur,veebruris,"Hulkuvate loomade probleemi lahendamiseks ei välista selts koostööd kassiklubi ega ka kommunaalameti eelmise "" loomapüüdja "" , aktsiaselts Kynthiaga , kelle pakkumine linnavalitsust veebruris enam ei rahuldanud .",,,,no,"The phrase 'veebruris' refers to time, not location, hence not adverbial of place.",yes,no,no,no,no,time
8783357,14097513,19,võtma,,all,jooksva,jooksvale,Eile 80 aastat tagasi kandis Eesti Pank 10 miljoni margase põhikapitali panga pearaamatusse ning pank võttis esimese summa jooksvale arvele .,,state,,no,"The phrase 'jooksvale' describes the state or target of the action rather than specifying a location, so it is not classified as an adverbial of place.",no,no,no,no,no,UNK
